"GEOID","B01001_001","B25001_001","B26001_001","housingvalue","mortgage","mortgagecost","mortgagetax","mortgageval","rentgross","occupyown","occupy","units","unitsownpop","vehicle","fuelheat","kitchen","plumbing","rooms","multigeneration","unitsperperson","ownervsrenter","pcthouseholdswithmorethanoneperroom","housing_score","housing_rnk","financial_score","ownership_score","building_quality_score","crowding_score","housing_state_rnk","NAME"
"13103",54630,20361,247,152600,72.6306089175587,89.6383910093193,1721,78.9416100732001,914,76.5353732638889,90.5260055989392,33.7397034596376,77.581229428314,2.16590711805556,98.3289930555556,97.8979421442955,98.5511517116055,6,5.32769097222222,0.372707303679297,33203.8971631206,2.65842013888889,124.61,89.2352185089974,126.36,112.74,118.53,105.89,88.4615384615385,"Effingham County, Georgia"
"13105",19537,9521,251,82400,45.7938613111027,71.124905944319,757,43.7193907722758,609,68.1559917355372,81.3359941182649,39.6376106874136,69.98340765322,1.78886880165289,96.3972107438017,96.2608969646046,95.8722823232854,5.6,5.28150826446281,0.487331729538824,14241.0893617021,1.8724173553719,91.13,33.2904884318766,85.14,94.7,103.42,104.78,27.5641025641026,"Elbert County, Georgia"
"13107",22731,9904,859,67800,45.4345030314165,68.8154647655607,717,51.2369547610328,563,66.7361451692006,82.3505654281099,35.8805155954423,65.531272860278,1.84036292300147,97.388425698872,95.4866720516963,97.2839256865913,5.4,6.68219715546837,0.435704544454709,12065.3345323741,4.03384011770476,93.32,38.1426735218509,84.83,88.02,105.7,123.91,33.974358974359,"Emanuel County, Georgia"
"13109",10814,4637,451,87900,60.7030015797788,82.7839003354097,910,66.5178827377495,614,63.5861376192868,85.8744878153979,36.82263732199,62.1152176010808,1.78553490708187,99.3972877950778,93.5518654302351,94.9320681475092,5.4,4.64590657960824,0.428796005178472,5781.38007380074,3.89251632345555,105.12,62.6285347043702,103.54,80.58,100.12,114.71,58.974358974359,"Evans County, Georgia"
"13111",23742,16482,192,164600,49.1776759234295,76.6298912364045,769,55.1014087133416,664,78.0021030494217,57.6993083363669,40.0555976750063,77.3842887473461,2.05268138801262,90.5257623554154,96.3171945152287,96.2686567164179,5.4,4.67928496319664,0.694212787465252,17448.4156862745,1.08307045215563,88.16,26.8637532133676,97.47,114.67,87.46,96.36,21.474358974359,"Fannin County, Georgia"
"13113",108655,41132,617,229500,72.0653978796781,90.125482094247,2331,74.8660289275834,1096,81.2663812118853,93.6861810755616,35.4654640835673,82.0091079064774,2.15367847411444,99.3356688724536,98.2082077214821,99.6693571914811,7.3,3.97301154794343,0.378555979936496,94133.7657992565,1.39353834176722,133,94.4408740359897,134.25,121.76,123.77,77.48,96.1538461538462,"Fayette County, Georgia"
"13115",96169,40458,4032,117100,58.8801812859975,80.3173376973196,1137,62.6091994489815,674,60.7386591730229,86.1980325275594,36.2632449126018,62.0000651204185,1.83299879566439,97.7031599472386,93.4401107321172,96.3764891986752,5.4,5.36216092217698,0.420696898168849,54164.3359375,2.20221368354648,106.9,65.745501285347,103.91,75.81,101.94,110.79,64.1025641025641,"Floyd County, Georgia"
"13117",196236,69019,648,267300,80.1774132010683,93.9187144093984,2118,81.2060116885878,1172,84.1480054579019,90.2577551109115,31.7449397664037,83.9616949915128,2.09093827755037,99.2037884260374,97.548501137368,98.6453005694084,7.3,3.69853118227787,0.35171426241872,135400.040880503,0.882895898547235,138.47,96.3367609254499,143.48,126.3,118.31,74.78,98.7179487179487,"Forsyth County, Georgia"
"13119",22110,10480,667,102700,48.2188512016363,75.7025151777971,813,55.2702030548551,607,69.5719198387288,80.4675572519084,38.1411126187246,69.225388238586,1.91509545831851,93.6795920787383,96.030534351145,95.8874045801527,5.5,6.33226609747421,0.473993668023519,14413.046692607,2.13447171824973,95.55,42.9627249357326,92.81,95.51,100.92,112.05,37.1794871794872,"Franklin County, Georgia"
"13121",983903,444761,33639,241300,75.7930392590671,90.4323207168371,2661,75.6492456890832,1001,51.7471713904468,85.4294778543982,38.6173230491217,54.696379111489,1.50482554604863,99.5078390449446,97.3812901760721,97.7997171514589,5.4,3.1337756640883,0.452037446780831,645675.165957447,1.84310329853115,139.3,96.5616966580977,135.54,41.32,113.71,98.9,99.3589743589744,"Fulton County, Georgia"
